epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2819.3,1.23541,2.60935,1.18475,0.68689,0.0569,0.06309,0.04589,0.92148,2.16964,1.02376,8.73715e-05,8.73715e-05,8.73715e-05
2,5610.64,1.11919,1.23606,1.131,0.55112,0.24942,0.19539,0.1367,0.93205,1.61342,1.01583,0.000173305,0.000173305,0.000173305
3,8360.84,1.06308,1.00236,1.0864,0.51552,0.33402,0.30145,0.20493,0.92146,1.35689,1.00625,0.000257503,0.000257503,0.000257503
