epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4446,2.31646,8.35657,2.06929,0.5,1,0.995,0.8955,0.86978,4.14598,1.31942,0,0,0
2,73.7412,4.53205,7.76209,4.9607,0.33333,1,0.995,0.8955,0.84377,4.09731,1.29066,1.07219e-06,1.07219e-06,1.07219e-06
3,117.57,1.93056,5.69909,1.71009,0.25,1,0.995,0.8955,0.85579,4.07384,1.28408,1.90876e-06,1.90876e-06,1.90876e-06
4,153.621,1.74005,7.5112,1.87336,0.25,1,0.995,0.8955,0.85029,4.00916,1.26469,2.50971e-06,2.50971e-06,2.50971e-06
5,188.986,2.03644,5.75876,2.34311,0.25,1,0.995,0.8955,0.8525,3.95855,1.25087,2.87504e-06,2.87504e-06,2.87504e-06
6,221.079,3.98645,8.15364,3.42365,0.25,1,0.995,0.8955,0.83212,3.87247,1.23188,3.00475e-06,3.00475e-06,3.00475e-06
